,int64_field_0,Agence_Facturation,Region_Facturation,Materiel,Statut,Libelle_Statut_Materiel,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_Locative_Th_TR_IndM,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference,Date_Fin_Vie,Cat_Classe_Designation_Num
15621,15621,347,53,L515D014,O,EN LOCATION,EQP,100VJR,MANITOU,01/12/2011,31/01/2023,132,119,"1,11",531,2022,7,12,0.0,18500,18,,2.0
15622,15622,347,53,L515D019,O,EN LOCATION,EQP,100VJR,MANITOU,01/01/2012,31/01/2023,137,119,"1,15","269,5",2019,6,13,0.0,18500,40,,2.0
15623,15623,347,53,L515D019,O,EN LOCATION,EQP,100VJR,MANITOU,01/01/2012,31/01/2023,137,119,"1,15",0,2022,0,18,0.0,18500,0,,2.0
15624,15624,347,53,L540E006,O,EN LOCATION,EQP,150AETJ-C,MANITOU,01/07/2012,02/02/2023,125,119,"1,05","194,6",2021,2,2,0.0,33000,16,,2.0
15625,15625,348,67,102266,O,EN LOCATION,EQP,EC18C,VOLVO,14/09/2012,02/10/2023,123,97,"1,26","9494,6",2018,120,247,38556.0,18300,19,,3.0
15626,15626,348,67,102266,O,EN LOCATION,EQP,EC18C,VOLVO,14/09/2012,02/10/2023,123,97,"1,26","6840,14",2019,91,251,38403.0,18300,27,,3.0
15627,15627,348,67,102266,O,EN LOCATION,EQP,EC18C,VOLVO,14/09/2012,02/10/2023,123,97,"1,26","5427,5",2020,72,252,38862.0,18300,34,,3.0
15628,15628,348,67,102266,O,EN LOCATION,EQP,EC18C,VOLVO,14/09/2012,02/10/2023,123,97,"1,26","7610,51",2021,99,255,39015.0,18300,25,,3.0
15629,15629,348,67,102266,O,EN LOCATION,EQP,EC18C,VOLVO,14/09/2012,02/10/2023,123,97,"1,26","6091,07",2022,150,226,38862.0,18300,41,,3.0
15630,15630,348,67,102605,O,EN LOCATION,EQP,COMPACT8,HAULOTTE,31/08/2017,14/02/2023,122,112,"1,09","1107,7",2022,18,30,0.0,9900,10,,2.0
15631,15631,348,67,103930,S,VENDU,EQP,8085,JCB,27/09/2012,08/07/2020,93,90,"1,04","15279,5",2018,162,223,100800.0,55000,70,22/07/2020,3.0
15632,15632,348,67,103930,S,VENDU,EQP,8085,JCB,27/09/2012,08/07/2020,93,90,"1,04",7267,2019,44,186,100400.0,55000,82,22/07/2020,3.0
15633,15633,348,67,103930,S,VENDU,EQP,8085,JCB,27/09/2012,08/07/2020,93,90,"1,04",4860,2020,38,134,55600.0,55000,126,22/07/2020,3.0
15634,15634,348,67,105965,S,VENDU,EQP,160ALU-IVECO,MULTITEL,16/11/2012,28/10/2022,119,103,"1,15","15075,6",2018,113,239,64260.0,52500,25,20/10/2022,2.0
15635,15635,348,67,105965,S,VENDU,EQP,160ALU-IVECO,MULTITEL,16/11/2012,28/10/2022,119,103,"1,15","19975,11",2019,172,241,64005.0,52500,25,20/10/2022,2.0
15636,15636,348,67,105965,S,VENDU,EQP,160ALU-IVECO,MULTITEL,16/11/2012,28/10/2022,119,103,"1,15","12498,25",2020,120,226,64770.0,52500,45,20/10/2022,2.0
15637,15637,348,67,105965,S,VENDU,EQP,160ALU-IVECO,MULTITEL,16/11/2012,28/10/2022,119,103,"1,15",24032,2021,226,255,65025.0,52500,32,20/10/2022,2.0
15638,15638,348,67,105965,S,VENDU,EQP,160ALU-IVECO,MULTITEL,16/11/2012,28/10/2022,119,103,"1,15",14700,2022,200,204,52020.0,52500,37,20/10/2022,2.0
15639,15639,348,67,105966,S,VENDU,EQP,160ALU-IVECO,MULTITEL,16/11/2012,12/05/2022,120,103,"1,16","17023,2",2018,126,234,64260.0,52500,23,17/11/2022,2.0
15640,15640,348,67,105966,S,VENDU,EQP,160ALU-IVECO,MULTITEL,16/11/2012,12/05/2022,120,103,"1,16","16639,16",2019,153,226,64005.0,52500,23,17/11/2022,2.0
15641,15641,348,67,105966,S,VENDU,EQP,160ALU-IVECO,MULTITEL,16/11/2012,12/05/2022,120,103,"1,16","15423,85",2020,181,254,64770.0,52500,40,17/11/2022,2.0
15642,15642,348,67,105966,S,VENDU,EQP,160ALU-IVECO,MULTITEL,16/11/2012,12/05/2022,120,103,"1,16",25505,2021,238,255,65025.0,52500,33,17/11/2022,2.0
15643,15643,348,67,105966,S,VENDU,EQP,160ALU-IVECO,MULTITEL,16/11/2012,12/05/2022,120,103,"1,16",14700,2022,140,222,56610.0,52500,42,17/11/2022,2.0
15644,15644,348,67,107299,O,EN LOCATION,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,120,111,"1,08",200,2018,2,6,0.0,52000,61,,1.0
15645,15645,348,67,107299,O,EN LOCATION,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,120,111,"1,08","1631,4",2020,19,48,0.0,52000,59,,1.0
15646,15646,348,67,107304,A,DISPONIBLE,ACC,1000L980/A5063,JCB,26/11/2012,02/03/2023,120,83,"1,45",0,2020,8,19,0.0,1500,0,,1.0
15647,15647,348,67,107304,A,DISPONIBLE,ACC,1000L980/A5063,JCB,26/11/2012,02/03/2023,120,83,"1,45",0,2022,9,10,0.0,1500,0,,1.0
15648,15648,348,67,112520,N,PANNE COURT TERME,EQP,MX200DS,MULTITEL,04/03/2013,18/01/2023,117,103,"1,13","10514,02",2018,71,229,86940.0,61500,47,,2.0
15649,15649,348,67,112520,N,PANNE COURT TERME,EQP,MX200DS,MULTITEL,04/03/2013,18/01/2023,117,103,"1,13","9183,1",2019,59,210,86595.0,61500,49,,2.0
15650,15650,348,67,112520,N,PANNE COURT TERME,EQP,MX200DS,MULTITEL,04/03/2013,18/01/2023,117,103,"1,13",5459,2020,33,173,87630.0,61500,68,,2.0
15651,15651,348,67,112520,N,PANNE COURT TERME,EQP,MX200DS,MULTITEL,04/03/2013,18/01/2023,117,103,"1,13","16983,13",2021,114,246,87975.0,61500,31,,2.0
15652,15652,348,67,112520,N,PANNE COURT TERME,EQP,MX200DS,MULTITEL,04/03/2013,18/01/2023,117,103,"1,13","10210,69",2022,57,220,87630.0,61500,46,,2.0
15653,15653,348,67,112723,S,VENDU,EQP,A16JRTD,AIRO,11/03/2013,29/06/2021,99,117,"0,84",391,2018,4,5,0.0,38000,28,23/06/2021,2.0
15654,15654,348,67,112723,S,VENDU,EQP,A16JRTD,AIRO,11/03/2013,29/06/2021,99,117,"0,84",160,2019,2,4,0.0,38000,55,23/06/2021,2.0
15655,15655,348,67,112723,S,VENDU,EQP,A16JRTD,AIRO,11/03/2013,29/06/2021,99,117,"0,84",105,2020,1,2,0.0,38000,42,23/06/2021,2.0
15656,15656,348,67,112906,O,EN LOCATION,EQP,ECR48C,VOLVO,20/04/2018,31/01/2023,116,97,"1,2","11991,74",2018,89,252,79380.0,36500,31,,3.0
15657,15657,348,67,112906,O,EN LOCATION,EQP,ECR48C,VOLVO,20/04/2018,31/01/2023,116,97,"1,2",8926,2019,71,230,79065.0,36500,38,,3.0
15658,15658,348,67,112906,O,EN LOCATION,EQP,ECR48C,VOLVO,20/04/2018,31/01/2023,116,97,"1,2","8678,99",2020,71,234,80010.0,36500,40,,3.0
15659,15659,348,67,112906,O,EN LOCATION,EQP,ECR48C,VOLVO,20/04/2018,31/01/2023,116,97,"1,2",0,2021,0,9,2835.0,36500,0,,3.0
15660,15660,348,67,116989,A,DISPONIBLE,EQP,TC16TC-CPY,TEREX,07/06/2013,12/09/2022,114,97,"1,17",688,2020,4,7,0.0,38000,17,,3.0
15661,15661,348,67,118475,N,PANNE COURT TERME,EQP,160ALUDS,MULTITEL,07/05/2013,19/12/2022,115,103,"1,11",290,2019,2,3,0.0,52500,24,,2.0
15662,15662,348,67,118475,N,PANNE COURT TERME,EQP,160ALUDS,MULTITEL,07/05/2013,19/12/2022,115,103,"1,11",586,2020,4,7,0.0,52500,28,,2.0
15663,15663,348,67,127586,N,PANNE COURT TERME,EQP,P38.14,MERLO,01/01/2019,02/08/2023,113,111,"1,02","13443,75",2018,117,247,63000.0,55000,42,,1.0
15664,15664,348,67,127586,N,PANNE COURT TERME,EQP,P38.14,MERLO,01/01/2019,02/08/2023,113,111,"1,02",14136,2019,157,238,62750.0,55000,39,,1.0
15665,15665,348,67,127586,N,PANNE COURT TERME,EQP,P38.14,MERLO,01/01/2019,02/08/2023,113,111,"1,02",15551,2020,148,254,63500.0,55000,38,,1.0
15666,15666,348,67,127586,N,PANNE COURT TERME,EQP,P38.14,MERLO,01/01/2019,02/08/2023,113,111,"1,02","14760,04",2021,147,223,63750.0,55000,35,,1.0
15667,15667,348,67,127586,N,PANNE COURT TERME,EQP,P38.14,MERLO,01/01/2019,02/08/2023,113,111,"1,02","17069,2",2022,178,254,63500.0,55000,34,,1.0
15668,15668,348,67,127587,A,DISPONIBLE,ACC,B/P38.14,MERLO,01/01/2019,02/08/2023,111,83,"1,33",0,2018,5,252,1764.0,1500,0,,1.0
15669,15669,348,67,127587,A,DISPONIBLE,ACC,B/P38.14,MERLO,01/01/2019,02/08/2023,111,83,"1,33",364,2019,107,251,1757.0,1500,47,,1.0
15670,15670,348,67,127587,A,DISPONIBLE,ACC,B/P38.14,MERLO,01/01/2019,02/08/2023,111,83,"1,33",0,2020,92,254,1778.0,1500,0,,1.0
15671,15671,348,67,127587,A,DISPONIBLE,ACC,B/P38.14,MERLO,01/01/2019,02/08/2023,111,83,"1,33",0,2021,42,255,1785.0,1500,0,,1.0
15672,15672,348,67,127587,A,DISPONIBLE,ACC,B/P38.14,MERLO,01/01/2019,02/08/2023,111,83,"1,33",0,2022,91,209,1778.0,1500,0,,1.0
