int64_field_0,Agence_Gerante,Region_Proprietaire,Materiel,Statut,Libelle_Statut_Materiel,Cat_Classe_Designation,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Ann__e_Construction_Mat,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,Valeur_Locative_Th_TR_IndM,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_nette_comptable,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference
61,335,53,Mat - 100445,A,DISPONIBLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,20/06/2012,16/11/2022,2012,125,97,"1,29",47175,"10842,7",2021,129,255,"2300,8",23700,25
62,335,53,Mat - 100445,A,DISPONIBLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,20/06/2012,16/11/2022,2012,125,97,"1,29",46990,"8142,46",2022,74,254,"2300,8",23700,39
63,5101,51,Mat - 100455,S,VENDU,052-0033 - CHARIOT TELESC. 12M,EQP,MT1235ST,MANITOU,06/11/2012,15/05/2019,2012,82,111,"0,74",63000,"16222,9",2018,184,252,"4772,6",52000,139
64,5101,51,Mat - 100455,S,VENDU,052-0033 - CHARIOT TELESC. 12M,EQP,MT1235ST,MANITOU,06/11/2012,15/05/2019,2012,82,111,"0,74",20000,462,2019,3,80,"4772,6",52000,1787
65,5401,54,Mat - 100473,S,VENDU,057-0020 - PELLE SUR PNEUS 10T,EQP,9503ROUESIMPLE,NEUSON,11/06/2012,08/06/2020,2012,92,90,"1,02",100800,22456,2018,130,252,"8838,7",95000,112
66,5401,54,Mat - 100473,S,VENDU,057-0020 - PELLE SUR PNEUS 10T,EQP,9503ROUESIMPLE,NEUSON,11/06/2012,08/06/2020,2012,92,90,"1,02",100400,"23377,34",2019,118,251,"8838,7",95000,86
67,5401,54,Mat - 100473,S,VENDU,057-0020 - PELLE SUR PNEUS 10T,EQP,9503ROUESIMPLE,NEUSON,11/06/2012,08/06/2020,2012,92,90,"1,02",55600,2340,2020,9,139,"8838,7",95000,476
68,6201,62,Mat - 100496,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14,DOOSAN,30/06/2017,31/07/2018,2012,73,97,"0,75",19584,"11743,7",2018,35,128,0,18300,81
69,814,64,Mat - 100497,T,VOLE,057-0002 - MINIPELLE 1.5T,EQP,E14,DOOSAN,30/06/2017,18/06/2019,2012,84,97,"0,86",38403,"9152,45",2018,94,251,0,18300,81
70,814,64,Mat - 100497,T,VOLE,057-0002 - MINIPELLE 1.5T,EQP,E14,DOOSAN,30/06/2017,18/06/2019,2012,84,97,"0,86",16983,"2971,3",2019,30,111,0,18300,110
71,5401,54,Mat - 100498,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14,DOOSAN,30/06/2017,31/07/2018,2012,72,97,"0,74",19584,"11339,9",2018,29,128,0,18300,85
72,5601,56,Mat - 100499,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14,DOOSAN,30/06/2017,14/08/2019,2012,83,97,"0,86",38556,"6934,15",2018,87,252,0,18300,100
73,5601,56,Mat - 100499,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14,DOOSAN,30/06/2017,14/08/2019,2012,83,97,"0,86",17901,"13324,35",2019,42,117,0,18300,28
74,6201,62,Mat - 100500,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14,DOOSAN,30/06/2017,26/12/2018,2011,89,97,"0,92",36720,"14061,3",2018,97,240,0,18300,74
75,5801,58,Mat - 100501,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,25/02/2021,2012,104,97,"1,07",38556,"6951,65",2018,105,252,0,18300,54
76,5801,58,Mat - 100501,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,25/02/2021,2012,104,97,"1,07",38403,"10126,78",2019,109,251,0,18300,32
77,5801,58,Mat - 100501,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,25/02/2021,2012,104,97,"1,07",38862,"5196,4",2020,53,254,0,18300,63
78,5801,58,Mat - 100501,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,25/02/2021,2012,104,97,"1,07",4896,11000,2021,0,32,0,18300,5
79,5901,59,Mat - 100502,J,FERRAILLE,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,27/04/2022,2012,116,97,"1,2",38556,"6083,33",2018,56,252,0,18300,43
80,5901,59,Mat - 100502,J,FERRAILLE,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,27/04/2022,2012,116,97,"1,2",38403,"7622,2",2019,84,251,0,18300,35
81,5901,59,Mat - 100502,J,FERRAILLE,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,27/04/2022,2012,116,97,"1,2",38862,"3876,45",2020,37,254,0,18300,69
82,5901,59,Mat - 100502,J,FERRAILLE,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,27/04/2022,2012,116,97,"1,2",39015,"5553,75",2021,52,255,0,18300,41
83,5901,59,Mat - 100502,J,FERRAILLE,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,27/04/2022,2012,116,97,"1,2",9792,0,2022,0,64,0,18300,0
84,5701,57,Mat - 100503,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,28/03/2022,2012,117,97,"1,2",38556,"3524,85",2018,141,243,0,18300,93
85,5701,57,Mat - 100503,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,28/03/2022,2012,117,97,"1,2",38403,"3691,03",2019,48,251,0,18300,63
86,5701,57,Mat - 100503,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,28/03/2022,2012,117,97,"1,2",38862,"6523,6",2020,87,254,0,18300,33
87,5701,57,Mat - 100503,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,28/03/2022,2012,117,97,"1,2",39015,"7069,04",2021,85,255,0,18300,33
88,5701,57,Mat - 100503,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,28/03/2022,2012,117,97,"1,2",8568,10250,2022,0,56,0,18300,6
89,5801,58,Mat - 100504,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,15/12/2020,2012,102,97,"1,05",38556,"5938,25",2018,74,252,0,18300,62
90,5801,58,Mat - 100504,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,15/12/2020,2012,102,97,"1,05",38403,"5526,33",2019,85,251,0,18300,66
91,5801,58,Mat - 100504,S,VENDU,057-0002 - MINIPELLE 1.5T,EQP,E14-CPY,BOBCAT,30/06/2017,15/12/2020,2012,102,97,"1,05",36567,"5641,9",2020,72,239,0,18300,61
92,5301,53,Mat - 100505,S,VENDU,057-0007 - MINIPELLE 5T À 6T,EQP,E50,BOBCAT,30/06/2017,29/06/2021,2012,105,97,"1,08",79380,"8982,8",2018,85,252,0,36500,73
93,5301,53,Mat - 100505,S,VENDU,057-0007 - MINIPELLE 5T À 6T,EQP,E50,BOBCAT,30/06/2017,29/06/2021,2012,105,97,"1,08",79065,"7007,57",2019,68,251,0,36500,87
94,5301,53,Mat - 100505,S,VENDU,057-0007 - MINIPELLE 5T À 6T,EQP,E50,BOBCAT,30/06/2017,29/06/2021,2012,105,97,"1,08",80010,"12860,19",2020,140,254,0,36500,48
95,5301,53,Mat - 100505,S,VENDU,057-0007 - MINIPELLE 5T À 6T,EQP,E50,BOBCAT,30/06/2017,29/06/2021,2012,105,97,"1,08",37800,22886,2021,21,120,0,36500,13
96,1953,59,Mat - 100506,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,E50,BOBCAT,30/06/2017,02/07/2023,2012,123,97,"1,27",79380,"15962,79",2018,114,252,0,36500,27
97,1953,59,Mat - 100506,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,E50,BOBCAT,30/06/2017,02/07/2023,2012,123,97,"1,27",79065,"18390,02",2019,115,251,0,36500,24
98,1953,59,Mat - 100506,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,E50,BOBCAT,30/06/2017,02/07/2023,2012,123,97,"1,27",80010,"6189,24",2020,86,254,0,36500,71
99,1953,59,Mat - 100506,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,E50,BOBCAT,30/06/2017,02/07/2023,2012,123,97,"1,27",80325,"10844,14",2021,113,255,0,36500,41
