int64_field_0,Agence_Facturation,Region_Facturation,Materiel,Statut,Libelle_Statut_Materiel,Cat_Classe_Designation,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_Locative_Th_TR_IndM,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference,Date_Fin_Vie
4190,224,51,310722,A,DISPONIBLE,052-0024 - CHARIOT TELESC. =< 6M,EQP,525-60,JCB,13/03/2018,15/02/2023,57,116,"0,49","1953,2",2020,22,30,0,37000,25,
4191,224,51,314440,O,EN LOCATION,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,ECR25D,VOLVO,21/02/2018,02/10/2023,57,97,"0,59","9875,7",2018,131,216,39960,23700,25,
4192,224,51,314440,O,EN LOCATION,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,ECR25D,VOLVO,21/02/2018,02/10/2023,57,97,"0,59",8931,2019,103,248,46435,23700,31,
4193,224,51,314440,O,EN LOCATION,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,ECR25D,VOLVO,21/02/2018,02/10/2023,57,97,"0,59","12425,66",2020,133,254,46990,23700,23,
4194,224,51,314440,O,EN LOCATION,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,ECR25D,VOLVO,21/02/2018,02/10/2023,57,97,"0,59","10729,22",2021,133,255,47175,23700,27,
4195,224,51,314440,O,EN LOCATION,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,ECR25D,VOLVO,21/02/2018,02/10/2023,57,97,"0,59","10336,66",2022,131,254,46990,23700,28,
4196,224,51,316410,O,EN LOCATION,049-0070 - PLATEFORME 8M AUTOM. ELECT.,EQP,OPTIMUM8,HAULOTTE,25/05/2018,14/02/2023,54,112,"0,48","54,6",2018,1,7,0,9900,63,
4197,224,51,3169,R,ZONE RETOUR CTRL OBLIGATOIRES,049-0078 - PLATEFORME 12M COMPACT ELEC.,EQP,GS-3246,GENIE,09/12/2011,02/01/2023,149,112,"1,33","803,25",2018,13,23,0,16000,21,
4198,224,51,322387,R,ZONE RETOUR CTRL OBLIGATOIRES,049-0033 - NACELLE =<12M ELECTRIQUE,EQP,120AETJ,MANITOU,21/02/2018,02/06/2023,57,119,"0,48",0,2022,6,10,0,29000,0,
4199,224,51,329702,O,EN LOCATION,057-0007 - MINIPELLE 5T À 6T,EQP,ECR50D,VOLVO,27/03/2018,31/01/2023,56,97,"0,58",0,2019,0,1,0,36500,0,
4200,224,51,329715,O,EN LOCATION,057-0007 - MINIPELLE 5T À 6T,EQP,ECR50D,VOLVO,15/03/2018,02/03/2023,57,97,"0,58","16865,1",2018,127,200,63000,36500,21,
4201,224,51,329715,O,EN LOCATION,057-0007 - MINIPELLE 5T À 6T,EQP,ECR50D,VOLVO,15/03/2018,02/03/2023,57,97,"0,58","14998,49",2019,146,251,79065,36500,30,
4202,224,51,329715,O,EN LOCATION,057-0007 - MINIPELLE 5T À 6T,EQP,ECR50D,VOLVO,15/03/2018,02/03/2023,57,97,"0,58","12734,99",2020,112,254,80010,36500,36,
4203,224,51,329715,O,EN LOCATION,057-0007 - MINIPELLE 5T À 6T,EQP,ECR50D,VOLVO,15/03/2018,02/03/2023,57,97,"0,58","14702,52",2021,130,255,80325,36500,31,
4204,224,51,329715,O,EN LOCATION,057-0007 - MINIPELLE 5T À 6T,EQP,ECR50D,VOLVO,15/03/2018,02/03/2023,57,97,"0,58","14476,99",2022,127,254,80010,36500,31,
4205,224,51,3315111,A,DISPONIBLE,057-0005 - MINIPELLE 3.5T,EQP,ECR35D,VOLVO,20/09/2018,02/02/2023,50,97,"0,52",564,2018,8,12,3180,30500,35,
4206,224,51,3315111,A,DISPONIBLE,057-0005 - MINIPELLE 3.5T,EQP,ECR35D,VOLVO,20/09/2018,02/02/2023,50,97,"0,52","12179,42",2019,129,251,66515,30500,34,
4207,224,51,3315111,A,DISPONIBLE,057-0005 - MINIPELLE 3.5T,EQP,ECR35D,VOLVO,20/09/2018,02/02/2023,50,97,"0,52","7637,31",2020,76,254,67310,30500,54,
4208,224,51,3315111,A,DISPONIBLE,057-0005 - MINIPELLE 3.5T,EQP,ECR35D,VOLVO,20/09/2018,02/02/2023,50,97,"0,52","9495,81",2021,136,255,67575,30500,44,
4209,224,51,3315111,A,DISPONIBLE,057-0005 - MINIPELLE 3.5T,EQP,ECR35D,VOLVO,20/09/2018,02/02/2023,50,97,"0,52","8246,63",2022,86,254,67310,30500,50,
4210,224,51,331511,S,VENDU,057-0005 - MINIPELLE 3.5T,EQP,ECR35D,VOLVO,20/09/2018,18/12/2018,1,97,"0,01",0,2018,0,51,13515,30500,0,01/12/2018
4211,224,51,344060,A,DISPONIBLE,052-0083 - BENNE DE REPRISE CEREALIERE,ACC,CBA2000,MANITOU,02/07/2018,01/10/2023,53,83,"0,64",0,2018,0,8,200,2300,0,
4212,224,51,345447,A,DISPONIBLE,057-0002 - MINIPELLE 1.5T,EQP,E17,BOBCAT,25/10/2018,13/02/2023,49,97,"0,51","109,72",2022,1,2,0,18300,18,
4213,224,51,345448,O,EN LOCATION,057-0002 - MINIPELLE 1.5T,EQP,E17,BOBCAT,08/10/2018,02/08/2023,50,97,"0,51","2001,7",2018,27,59,9027,18300,30,
4214,224,51,345448,O,EN LOCATION,057-0002 - MINIPELLE 1.5T,EQP,E17,BOBCAT,08/10/2018,02/08/2023,50,97,"0,51","8724,6",2019,118,251,38403,18300,29,
4215,224,51,345448,O,EN LOCATION,057-0002 - MINIPELLE 1.5T,EQP,E17,BOBCAT,08/10/2018,02/08/2023,50,97,"0,51","11073,85",2020,129,254,38862,18300,23,
4216,224,51,345448,O,EN LOCATION,057-0002 - MINIPELLE 1.5T,EQP,E17,BOBCAT,08/10/2018,02/08/2023,50,97,"0,51","11538,96",2021,150,255,39015,18300,23,
4217,224,51,345448,O,EN LOCATION,057-0002 - MINIPELLE 1.5T,EQP,E17,BOBCAT,08/10/2018,02/08/2023,50,97,"0,51","7910,21",2022,100,254,38862,18300,33,
4218,224,51,345494,R,ZONE RETOUR CTRL OBLIGATOIRES,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,E26 CANOPY,BOBCAT,29/08/2018,02/03/2023,51,97,"0,53",0,2021,0,1,0,23700,0,
4219,224,51,345757,R,ZONE RETOUR CTRL OBLIGATOIRES,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,8025 ZTS,JCB,12/11/2018,15/02/2023,49,97,"0,5","984,4",2018,10,35,6475,23700,48,
